City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Bredasdorp,-34.5322,20.0403,60.28,82,89,4.61,ZA,2022-01-29 00:54:08,overcast clouds
1,Hobart,-42.8794,147.3294,68.27,78,75,13.8,AU,2022-01-29 00:52:51,broken clouds
2,Constitucion,-35.3333,-72.4167,57.36,92,3,5.68,CL,2022-01-29 00:54:08,clear sky
3,Punta Arenas,-53.15,-70.9167,68.11,22,0,8.05,CL,2022-01-29 00:54:09,clear sky
4,Gazli,40.1333,63.45,34.74,75,45,11.68,UZ,2022-01-29 00:54:09,scattered clouds
5,Kotelnikovo,47.6317,43.1461,29.34,97,100,13.91,RU,2022-01-29 00:54:09,light snow
6,Valenca Do Piaui,-6.4075,-41.7456,70.18,96,100,5.26,BR,2022-01-29 00:54:10,overcast clouds
7,East London,-33.0153,27.9116,66.96,78,0,10.63,ZA,2022-01-29 00:54:10,clear sky
8,Okha,53.5739,142.9478,-10.21,90,5,12.82,RU,2022-01-29 00:54:10,clear sky
9,Lima,-12.0432,-77.0282,70.39,80,40,13.8,PE,2022-01-29 00:54:11,scattered clouds
10,Kavieng,-2.5744,150.7967,83.26,73,100,4.65,PG,2022-01-29 00:54:11,light rain
11,Chokurdakh,70.6333,147.9167,-31.18,96,81,1.97,RU,2022-01-29 00:54:11,broken clouds
12,New Norfolk,-42.7826,147.0587,67.91,57,100,1.99,AU,2022-01-29 00:54:12,overcast clouds
13,Kibala,9.1104,18.3463,71.55,30,0,0.0,TD,2022-01-29 00:54:12,clear sky
14,Ongandjera,-17.8833,15.0667,74.55,36,100,9.53,NA,2022-01-29 00:54:12,overcast clouds
15,Cherskiy,68.75,161.3,-9.94,95,100,4.45,RU,2022-01-29 00:54:13,overcast clouds
16,Liverpool,53.4106,-2.9779,53.29,85,100,3.0,GB,2022-01-29 00:54:13,overcast clouds
17,Tuktoyaktuk,69.4541,-133.0374,-18.4,76,40,17.27,CA,2022-01-29 00:54:13,scattered clouds
18,Moshenskoye,58.5102,34.5911,19.71,98,100,0.65,RU,2022-01-29 00:54:13,overcast clouds
19,Mataura,-46.1927,168.8643,71.47,25,99,6.73,NZ,2022-01-29 00:54:14,overcast clouds
20,Rikitea,-23.1203,-134.9692,78.3,69,97,13.96,PF,2022-01-29 00:54:14,overcast clouds
21,Ixtapa,20.7,-105.2,74.23,83,8,4.0,MX,2022-01-29 00:54:14,clear sky
22,Pitimbu,-7.4706,-34.8086,72.19,73,100,11.74,BR,2022-01-29 00:50:28,moderate rain
23,Albany,42.6001,-73.9662,23.14,77,100,1.99,US,2022-01-29 00:51:55,overcast clouds
24,Ryotsu,38.0833,138.4333,37.36,51,100,4.03,JP,2022-01-29 00:54:15,overcast clouds
25,Saint-Philippe,-21.3585,55.7679,74.79,74,0,4.61,RE,2022-01-29 00:54:15,clear sky
26,Geraldton,-28.7667,114.6,95.41,31,0,21.85,AU,2022-01-29 00:54:16,clear sky
27,Jamestown,42.097,-79.2353,15.08,85,100,9.22,US,2022-01-29 00:50:07,overcast clouds
28,Viedma,-40.8135,-62.9967,82.36,27,0,12.33,AR,2022-01-29 00:54:16,clear sky
29,Sao Filipe,14.8961,-24.4956,71.31,69,76,8.9,CV,2022-01-29 00:54:16,broken clouds
30,Contamana,-7.3333,-75.0167,80.2,66,96,2.75,PE,2022-01-29 00:54:17,overcast clouds
31,Nizhniy Tsasuchey,50.5167,115.1333,-9.02,90,5,5.95,RU,2022-01-29 00:54:17,clear sky
32,Hay River,60.8156,-115.7999,1.38,78,75,9.22,CA,2022-01-29 00:54:17,broken clouds
33,Torbay,47.6666,-52.7314,28.27,85,100,9.22,CA,2022-01-29 00:54:17,overcast clouds
34,Lata,40.1629,-8.3327,47.05,59,0,5.41,PT,2022-01-29 00:54:18,clear sky
35,Tasiilaq,65.6145,-37.6368,4.59,72,25,6.42,GL,2022-01-29 00:54:18,scattered clouds
36,Araguaina,-7.1911,-48.2072,70.61,95,38,3.91,BR,2022-01-29 00:54:18,scattered clouds
37,Griffith,41.5284,-87.4237,21.06,78,100,1.99,US,2022-01-29 00:54:19,overcast clouds
38,Cabo San Lucas,22.8909,-109.9124,75.51,59,30,1.99,MX,2022-01-29 00:51:15,scattered clouds
39,Butaritari,3.0707,172.7902,81.63,79,29,16.55,KI,2022-01-29 00:54:19,light rain
40,Bend,44.0582,-121.3153,48.06,44,0,8.05,US,2022-01-29 00:54:19,clear sky
41,Tiksi,71.6872,128.8694,-9.18,99,28,7.7,RU,2022-01-29 00:54:20,scattered clouds
42,Lagoa,39.05,-27.9833,57.92,59,14,12.91,PT,2022-01-29 00:50:27,few clouds
43,Vaini,-21.2,-175.2,82.65,78,100,18.14,TO,2022-01-29 00:54:20,overcast clouds
44,Dudinka,69.4058,86.1778,1.62,93,100,18.61,RU,2022-01-29 00:52:39,overcast clouds
45,Alugan,12.2188,125.4808,80.33,83,100,5.35,PH,2022-01-29 00:54:20,overcast clouds
46,Ostrovnoy,68.0531,39.5131,12.96,93,100,8.75,RU,2022-01-29 00:54:21,overcast clouds
47,Khatanga,71.9667,102.5,-3.48,88,100,5.53,RU,2022-01-29 00:55:21,overcast clouds
48,Port Alfred,-33.5906,26.891,65.84,81,67,7.49,ZA,2022-01-29 00:55:22,light rain
